Rep,Row,Pos,Fert,PlotIndex,PlotID,Plant,Genotype,SeedTreatment,R_Year,ERA,T1_kgdw_ha,T2_kgdw_ha,T3_kgdw_ha,Stover_kgdw_ha,Grain_kgdw_ha,Cob_kgdw_ha,Total_kgdw_ha,T1_FracN.leco,T1_FracC.leco,T2_FracN.leco,T2_FracC.leco,T3_FracN.leco,T3_FracC.leco,Stover_FracN.leco,Stover_FracC.leco,Grain_FracN.leco,Grain_FracC.leco,T2_d15N,T2_X15N_AtPercent,T2_FracN,stover_d15N,stover_X15N_AtPercent,stover_FracN,grain_d15N,grain_X15N_AtPercent,grain_FracN,Stover_FracN_fromSoil,Grain_FracN_fromSoil,T2_FracN_fromSoil,Cob_FracN_fromSoil,Stover_FracN_fromFert,Grain_FracN_fromFert,T2_FracN_fromFert,Cob_FracN_fromFert,T0_BG_activity.g,T0_BX_activity.g,T0_CB_activity.g,T0_LAP_activity.g,T0_NAG_activity.g,T1_BG_activity.g,T1_BX_activity.g,T1_CB_activity.g,T1_LAP_activity.g,T1_NAG_activity.g,T2_BG_activity.g,T2_BX_activity.g,T2_CB_activity.g,T2_LAP_activity.g,T2_NAG_activity.g,T3_BG_activity.g,T3_BX_activity.g,T3_CB_activity.g,T3_LAP_activity.g,T3_NAG_activity.g,T2_kgN_ha,Grain_kgN_ha,Stover_kgN_ha,Cob_kgN_ha,Final_kgN_ha,T1_kgN_ha,T3_kgN_ha,Grain_kgFertN_ha,Grain_kgSoilN_ha,Stover_kgFertN_ha,Stover_kgSoilN_ha,Cob_kgFertN_ha,Cob_kgSoilN_ha,Total_kgFertN_ha,Total_kgSoilN_ha,T2_kgFertN_ha,T2_kgSoilN_ha,NUtE,R_Year.c,PostAnthesis_kgdw_ha,PostAnthesis_kgN_ha,PostAnthesis_N_kgFertN_ha,PostAnthesis_N_kgSoilN_ha
1,3,a,85,25,1-3a_85,1936,1936,Treated,1936,1,642,3961.5,NA,4680.569346,4278.25448,825.9043413,9784.728167,0.026107,0.41979,0.0095056,0.43272,NA,NA,0.0038016,0.44412,0.010053,0.44267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.92975155,16.27030244,14.30153543,119.6083122,22.01258683,NA,NA,NA,NA,NA,37.6564344,43.00929229,17.79365243,3.139757944,63.94270266,16.760694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.90762671,1,5823.228167,26.28626826,NA,NA
1,3,a,0,26,1-3a_0,1936,1936,Treated,1936,1,338.4,4846.5,NA,3278.999226,1379.106572,309.2576591,4967.363457,0.020052,0.40972,0.01009405,0.425195,NA,NA,0.0046095,0.42951,0.011879,0.4448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.92081333,16.38240697,15.11454693,1.42552318,32.92247708,6.7855968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.88951423,1,120.8634571,-15.99833624,NA,NA
1,3,a,170,27,1-3a_170,1936,1936,Treated,1936,1,598.2,6949.5,NA,5737.10382,4127.646924,763.0366229,10627.78737,0.023062,0.42216,0.013433,0.43437,NA,NA,0.0058247,0.44673,0.014026,0.44578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.3526335,57.89437576,33.41690862,4.444459417,95.75574379,13.7956884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.10599825,1,3678.287367,2.403110294,NA,NA
2,5,b,170,112,2-5b_170,1936,1936,Treated,1936,1,363.9,6535.5,NA,7099.32971,7567.501169,1289.451716,15956.2826,0.027655,0.42436,0.018379,0.43598,NA,NA,0.0053683,0.47828,0.014145,0.4424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.1159545,107.042304,38.11133168,6.922163647,152.0757994,10.0636545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7613769,1,9420.782595,31.95984486,NA,NA
2,5,b,85,113,2-5b_85,1936,1936,Treated,1936,1,845.7,7444.5,NA,2630.887143,5173.092698,1106.645081,8910.624922,0.027602,0.42424,0.014112,0.43817,NA,NA,0.0034642,0.45123,0.01063,0.43982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.06426512,15.54399657,16.19481016,128.83494,20.30794366,NA,NA,NA,NA,NA,105.056784,54.98997538,9.113919241,3.83363989,67.93753451,23.3430114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.14484004,1,1466.124922,-37.11924949,NA,NA
2,5,b,0,114,2-5b_0,1936,1936,Treated,1936,1,450,6810,NA,4173.50892,2694.687893,580.3494489,7448.546262,0.021016,0.40535,0.010961,0.42994,NA,NA,0.004211,0.45902,0.010336,0.44038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.64441,27.85229406,17.57464606,2.443851529,47.87079165,9.4572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.29085712,1,638.5462619,-26.77361835,NA,NA
3,4,a,85,157,3-4a_85,1936,1936,Treated,1936,1,520.2,6162,NA,4771.728026,5192.523587,1146.117253,11110.36887,0.024401,0.41635,0.01248,0.43174,NA,NA,0.0034108,0.45571,0.010241,0.43513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.9789174,23.07005565,26.93785572,170.5577858,20.44882559,NA,NA,NA,NA,NA,76.90176,53.17663405,16.27540995,3.909176727,73.36122073,12.6934002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.78022333,1,4948.368866,-3.540539268,NA,NA
3,4,a,0,158,3-4a_0,1936,1936,Treated,1936,1,405,4378.5,NA,2499.445507,3247.273891,713.917312,6460.63671,0.021223,0.40879,0.0096472,0.42479,NA,NA,0.0038836,0.43932,0.010342,0.43663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2402652,33.58330658,9.706846571,2.772569273,46.06272242,8.595315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.49678612,1,2082.13671,3.822457225,NA,NA
3,4,a,170,159,3-4a_170,1936,1936,Treated,1936,1,709.8,6328.5,NA,4891.933402,5179.983372,1160.115632,11232.03241,0.026871,0.42111,0.0135495,0.434075,NA,NA,0.0038055,0.45519,0.012933,0.43757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.74801075,66.99272495,18.61625256,4.414820038,90.02379755,19.0730358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.54015619,1,4903.532406,4.275786799,NA,NA
4,5,a,85,229,4-5a_85,1936,1936,Treated,1936,1,986.7,6405,NA,3965.759618,5077.075002,807.379313,9850.213933,0.022863,0.42914,0.010298,0.43502,NA,NA,0.002993,0.44639,0.010482,0.44085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.46772687,25.74621763,21.18763221,232.5353546,27.10399546,NA,NA,NA,NA,NA,65.95869,53.21790017,11.86951854,2.416486284,67.50390499,22.5589221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.21157484,1,3445.213933,1.545214991,NA,NA
4,5,a,0,230,4-5a_0,1936,1936,Treated,1936,1,813,5601,NA,2146.278775,3066.81146,621.7613191,5834.851554,0.019261,0.42747,0.006613,0.42838,NA,NA,0.0041062,0.43821,0.011137,0.44002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.039413,34.15507923,8.813049906,2.553076328,45.52120546,15.659193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.37105111,1,233.8515541,8.481792464,NA,NA
4,5,a,170,231,4-5a_170,1936,1936,Treated,1936,1,1287.6,7887,NA,4755.522702,6039.59303,1165.476713,11960.59245,0.029147,0.42948,0.012884,0.43894,NA,NA,0.00342,0.44722,0.013156,0.43666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.616108,79.4568859,16.26388764,3.985930358,99.7067039,37.5296772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.57359028,1,4073.592445,-1.909404098,NA,NA
1,2,b,170,16,1-2b_170,1939,1939,Treated,1939,1,269.4,6081,8172,3235.106353,3540.189965,637.2761888,7412.572507,0.032903,0.40984,0.014188,0.43983,0.0092933,0.43233,0.0060415,0.44989,0.014146,0.43325,1277.528852,0.830380429,0.015077796,885.4033282,0.688396784,0.00608524,833.9945036,0.669752154,0.013921342,0.498012443,0.526113327,0.271303901,0.526113327,0.501987557,0.473886673,0.728696099,0.473886673,NA,NA,NA,NA,NA,96.79330864,21.01421275,21.70019477,46.58059005,20.24605801,NA,NA,NA,NA,NA,123.3897818,30.13991388,33.29763381,219.5503757,35.55785312,86.277228,50.07952724,19.54489503,3.850104095,73.47452637,8.8640682,2.50361502,23.35512333,25.92907192,9.88232714,9.804071443,1.824513021,2.025591074,35.06196349,37.75873444,66.81274442,24.87533306,48.18254897,4,1331.572507,-12.80270163,-31.75078093,12.88340138
