Rep,Row,Pos,Fert,PlotIndex,PlotID,Plant,Genotype,SeedTreatment,R_Year,ERA,BG_activity.g,BX_activity.g,CB_activity.g,LAP_activity.g,NAG_activity.g,TimePoint,Stage,kgdw_ha,FracN.leco,FracC.leco,kgN_ha,RGR,AGR,Nprod,NupR,d15N,X15N_AtPercent,FracN,FracN_fromSoil,FracN_fromFert,kgFertN_ha,kgSoilN_ha
1,3,a,85,25,1-3a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,a,0,26,1-3a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,a,170,27,1-3a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,b,170,112,2-5b_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,b,85,113,2-5b_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,b,0,114,2-5b_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,a,85,157,3-4a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,a,0,158,3-4a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,a,170,159,3-4a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,a,85,229,4-5a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,a,0,230,4-5a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,a,170,231,4-5a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,a,85,25,1-3a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,642,0.026107,0.41979,16.760694,0.07676847,17.35,1.03516,0.350502,NA,NA,NA,NA,NA,NA,NA
1,3,a,0,26,1-3a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,338.4,0.020052,0.40972,6.7855968,0.063143796,8.916666667,1.314057839,0.138265889,NA,NA,NA,NA,NA,NA,NA
1,3,a,170,27,1-3a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,598.2,0.023062,0.42216,13.7956884,0.075264999,16.13333333,1.169447502,0.287416774,NA,NA,NA,NA,NA,NA,NA
2,5,b,170,112,2-5b_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,363.9,0.027655,0.42436,10.0636545,0.064689551,9.625,0.956412007,0.208011798,NA,NA,NA,NA,NA,NA,NA
2,5,b,85,113,2-5b_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,845.7,0.027602,0.42424,23.3430114,0.082631797,23.00833333,0.985662601,0.490551306,NA,NA,NA,NA,NA,NA,NA
2,5,b,0,114,2-5b_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,450,0.021016,0.40535,9.4572,0.069208029,12.01666667,1.270636834,0.195108511,NA,NA,NA,NA,NA,NA,NA
3,4,a,85,157,3-4a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,520.2,0.024401,0.41635,12.6934002,0.072292407,13.96666667,1.10030933,0.263963834,NA,NA,NA,NA,NA,NA,NA
3,4,a,0,158,3-4a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,405,0.021223,0.40879,8.595315,0.066966316,10.76666667,1.252620371,0.176770532,NA,NA,NA,NA,NA,NA,NA
3,4,a,170,159,3-4a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,709.8,0.026871,0.42111,19.0730358,0.078904533,19.23333333,1.008404406,0.399700762,NA,NA,NA,NA,NA,NA,NA
4,5,a,85,229,4-5a_85,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,986.7,0.022863,0.42914,22.5589221,0.085912677,26.925,1.193541069,0.473868555,NA,NA,NA,NA,NA,NA,NA
4,5,a,0,230,4-5a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,813,0.019261,0.42747,15.659193,0.081792785,22.1,1.411311554,0.327065809,NA,NA,NA,NA,NA,NA,NA
4,5,a,170,231,4-5a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T1,V6,1287.6,0.029147,0.42948,37.5296772,0.091575853,35.28333333,0.940144866,0.79239526,NA,NA,NA,NA,NA,NA,NA
1,3,a,85,25,1-3a_85,1936,1936,Treated,1936,1,88.92975155,16.27030244,14.30153543,119.6083122,22.01258683,T2,R1,3961.5,0.0095056,0.43272,37.6564344,0.067399619,107.0806452,2.843621465,0.773916311,NA,NA,NA,NA,NA,NA,NA
1,3,a,0,26,1-3a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,4846.5,0.01009405,0.425195,48.92081333,0.098584572,145.4225806,2.972611671,1.560563575,NA,NA,NA,NA,NA,NA,NA
1,3,a,170,27,1-3a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,6949.5,0.013433,0.43437,93.3526335,0.090833328,204.8806452,2.194695934,2.946553522,NA,NA,NA,NA,NA,NA,NA
2,5,b,170,112,2-5b_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,6535.5,0.018379,0.43598,120.1159545,0.106967594,199.083871,1.657430703,4.076011111,NA,NA,NA,NA,NA,NA,NA
2,5,b,85,113,2-5b_85,1936,1936,Treated,1936,1,74.06426512,15.54399657,16.19481016,128.83494,20.30794366,T2,R1,7444.5,0.014112,0.43817,105.056784,0.080558004,212.8645161,2.026185345,3.026436022,NA,NA,NA,NA,NA,NA,NA
2,5,b,0,114,2-5b_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,6810,0.010961,0.42994,74.64441,0.100625919,205.1612903,2.748515131,2.414341111,NA,NA,NA,NA,NA,NA,NA
3,4,a,85,157,3-4a_85,1936,1936,Treated,1936,1,133.9789174,23.07005565,26.93785572,170.5577858,20.44882559,T2,R1,6162,0.01248,0.43174,76.90176,0.091553457,181.9935484,2.366571953,2.3780874,NA,NA,NA,NA,NA,NA,NA
3,4,a,0,158,3-4a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,4378.5,0.0096472,0.42479,42.2402652,0.088169423,128.1774194,3.034484247,1.246109267,NA,NA,NA,NA,NA,NA,NA
3,4,a,170,159,3-4a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,6328.5,0.0135495,0.434075,85.74801075,0.081030936,181.2483871,2.113732849,2.469443517,NA,NA,NA,NA,NA,NA,NA
4,5,a,85,229,4-5a_85,1936,1936,Treated,1936,1,94.46772687,25.74621763,21.18763221,232.5353546,27.10399546,T2,R1,6405,0.010298,0.43502,65.95869,0.069276599,174.783871,2.649899065,1.607398811,NA,NA,NA,NA,NA,NA,NA
4,5,a,0,230,4-5a_0,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,5601,0.006613,0.42838,37.039413,0.071480345,154.4516129,4.169926043,0.79186,NA,NA,NA,NA,NA,NA,NA
4,5,a,170,231,4-5a_170,1936,1936,Treated,1936,1,NA,NA,NA,NA,NA,T2,R1,7887,0.012884,0.43894,101.616108,0.067127252,212.883871,2.094981545,2.373571511,NA,NA,NA,NA,NA,NA,NA
